key,en,de,fr,es
# ── Config slide 1 ────────────────────────────────────────────────────────────
"By duration","By duration","Nach Dauer","Par durée","Por duración"
"By rounds","By rounds","Nach Runden","Par tours","Por rondas"
"Add blocks to see estimate","Add blocks to see estimate","Blöcke hinzufügen für Schätzung","Ajoutez des blocs pour estimer","Añade bloques para ver estimación"
"minutes","minutes","Minuten","minutes","minutos"
"rounds","rounds","Runden","tours","rondas"
"Repeat","Repeat","Wiederholen","Répéter","Repetir"
"Seconds","Seconds","Sekunden","Secondes","Segundos"
"Minutes","Minutes","Minuten","Minutes","Minutos"
"Every","Every","Alle","Toutes les","Cada"
"Timer name","Timer name","Timername","Nom du minuteur","Nombre del temporizador"
"Next: Start & End","Next: Start & End","Weiter: Start & Ende","Suivant : Début & Fin","Siguiente: Inicio & Fin"
"Enable","Enable","Aktivieren","Activer","Activar"
"Advanced: Metronome","Advanced: Metronome","Erweitert: Metronom","Avancé : Métronome","Avanzado: Metrónomo"
"Set a repeating background signal — like a breath cue, awareness bell, or pacing chime — that runs independently throughout your session.","Set a repeating background signal — like a breath cue, awareness bell, or pacing chime — that runs independently throughout your session.","Lege ein sich wiederholendes Hintergrundsignal fest – wie ein Atemzeichen, eine Achtsamkeitsglocke oder ein Rhythmustakt – das unabhängig während deiner Einheit läuft.","Définissez un signal de fond répété — comme un repère de respiration, une cloche de pleine conscience ou un carillon de rythme — qui se déclenche indépendamment tout au long de votre séance.","Define una señal de fondo repetida — como una señal de respiración, un campana de atención o un carillón de ritmo — que suena de forma independiente durante toda tu sesión."
# ── Block editor ──────────────────────────────────────────────────────────────
"Duration","Duration","Dauer","Durée","Duración"
"Color","Color","Farbe","Couleur","Color"
"sec","sec","Sek","sec","seg"
"Sound Cue","Sound Cue","Klangsignal","Signal sonore","Señal sonora"
"Haptic","Haptic","Haptik","Haptique","Háptico"
"Visual Flash","Visual Flash","Visuelles Aufleuchten","Flash visuel","Flash visual"
"Label","Label","Bezeichnung","Étiquette","Etiqueta"
# ── Sound / haptic / visual cue names ────────────────────────────────────────
"Silent","Silent","Lautlos","Silencieux","Silencioso"
"Female voice","Female voice","Weibliche Stimme","Voix féminine","Voz femenina"
"Male voice","Male voice","Männliche Stimme","Voix masculine","Voz masculina"
"Voice: Running","Voice: Running","Stimme: Laufen","Voix : Course","Voz: Corriendo"
"Voice: Walking","Voice: Walking","Stimme: Gehen","Voix : Marche","Voz: Caminando"
"Voice: Warming up","Voice: Warming up","Stimme: Aufwärmen","Voix : Échauffement","Voz: Calentando"
"Voice: Halfway","Voice: Halfway","Stimme: Halbzeit","Voix : À mi-chemin","Voz: A mitad"
"Soft pulse","Soft pulse","Sanfter Puls","Pulsion douce","Pulso suave"
"Double tap","Double tap","Doppeltippen","Double touche","Doble toque"
"Long buzz","Long buzz","Langer Impuls","Longue vibration","Vibración larga"
"Off","Off","Aus","Désactivé","Desactivado"
"Block color","Block color","Blockfarbe","Couleur du bloc","Color del bloque"
"Flashlight","Flashlight","Taschenlampe","Lampe de poche","Linterna"
"No flash","No flash","Kein Blitz","Pas de flash","Sin flash"
# ── Announcement cue names ────────────────────────────────────────────────────
"Off","Off","Aus","Désactivé","Desactivado"
# ── Config slide 2 ───────────────────────────────────────────────────────────
"Countdown sound","Countdown sound","Countdown-Sound","Son du compte à rebours","Sonido de cuenta atrás"
"Opening sound","Opening sound","Startsound","Son d'ouverture","Sonido de apertura"
"Closing sound","Closing sound","Abschlusssound","Son de fermeture","Sonido de cierre"
"no countdown","no countdown","kein Countdown","pas de compte à rebours","sin cuenta atrás"
"%lld sec","%lld sec","%lld Sek","%lld sec","%lld seg"
"End of session","End of session","Ende der Einheit","Fin de séance","Fin de sesión"
# ── Countdown ────────────────────────────────────────────────────────────────
"Get Ready","Get Ready","Bereit machen","Préparez-vous","Prepárate"
# ── Session done ─────────────────────────────────────────────────────────────
"Session complete","Session complete","Einheit abgeschlossen","Séance terminée","Sesión completada"
"Session stopped","Session stopped","Einheit gestoppt","Séance arrêtée","Sesión detenida"
"Well executed.","Well executed.","Gut gemacht.","Bien exécuté.","Bien ejecutado."
# ── Share screen ─────────────────────────────────────────────────────────────
"Background Photo","Background Photo","Hintergrundfoto","Photo de fond","Foto de fondo"
"Session Title","Session Title","Einheitentitel","Titre de séance","Título de sesión"
"Location","Location","Standort","Lieu","Ubicación"
"Dim Photo","Dim Photo","Foto abdunkeln","Assombrir la photo","Oscurecer foto"
"None","None","Kein","Aucun","Ninguno"
"More","More","Mehr","Plus","Más"
"Save Image","Save Image","Bild speichern","Enregistrer l'image","Guardar imagen"
"Save image","Save image","Bild speichern","Enregistrer l'image","Guardar imagen"
"Saved to Photos","Saved to Photos","In Fotos gespeichert","Enregistré dans Photos","Guardado en Fotos"
"Own","Own","Eigenes","Propre","Propio"
"Practice facilitated by","Practice facilitated by","Training begleitet von","Pratique facilitée par","Práctica facilitada por"
"Focus brought to you by","Focus brought to you by","Fokus ermöglicht von","Focus apporté par","Enfoque gracias a"
# ── Preset descriptions ───────────────────────────────────────────────────────
